RuleID,DecisionType,TaskType,DataPattern,ChartType,Reason,Dataset,KeyColumns,EvaluationTask,Complexity,UserRole,TimeToInsight,RecommendationLevel,RecommendationReason,AlternativeChart,AlternativeReason,AvoidChart,AvoidReason,ResearchBacking
R1,Strategic,Revenue Trend Analysis,Time Series,Line Chart,Best for showing continuous trends over time,Superstore Sales,"Order Date, Sales",Identify the month with highest revenue,Low,Manager,Fast,BEST,Line charts reveal trend direction and momentum instantly for time series data,Bar Chart,Use when exact monthly value comparison matters more than trend,Pie Chart,Pie charts cannot show time progression,"Tufte 2001, Few 2009"
R2,Strategic,Regional Performance Comparison,Category Comparison,Bar Chart,Side-by-side comparison across regions,Superstore Sales,"Region, Sales",Which region had lowest sales in Q3?,Low,Manager,Fast,BEST,Bar charts enable instant visual comparison between discrete categories,Grouped Bar Chart,Use when comparing across multiple years simultaneously,Line Chart,Line charts imply continuity between regions which does not exist,"Few 2009, Munzner 2014"
R3,Strategic,Product Mix Revenue Share,Part-to-Whole,Treemap,Hierarchical view of category contributions,Superstore Sales,"Category, Sub-Category, Sales",Which sub-category contributed most to revenue?,Medium,Executive,Medium,BEST,Treemaps show hierarchical part-to-whole relationships with better space usage than pie,Pie Chart,Use only when fewer than 5 categories exist,Bar Chart,Bar charts do not show part-to-whole relationships clearly,"Munzner 2014, Kirk 2019"
R4,Strategic,Market Growth Rate,Time Series + Rate,Area Chart,Shows cumulative growth and volume simultaneously,Superstore Sales,"Order Date, Sales",In which quarter did growth exceed 20%?,Medium,Analyst,Medium,BEST,Area charts emphasize volume and cumulative magnitude better than line charts,Line Chart,Use when exact trend values matter more than volume,Bar Chart,Bar charts hide the cumulative growth story,"Tufte 2001, Ware 2012"
R5,Strategic,Profitability by Segment,Multi-Metric Comparison,Bubble Chart,Three dimensions encoded simultaneously,Superstore Sales,"Segment, Sales, Profit, Discount",Which segment is most profitable per sale?,High,Executive,Slow,BEST,Bubble charts encode 3 variables simultaneously — position and size,Scatter Plot,Use when size dimension is not critical,Bar Chart,Bar charts can only show 1-2 dimensions effectively,"Few 2009, Kirk 2019"
R6,Strategic,Year-over-Year Sales Comparison,Period Comparison,Grouped Bar Chart,Direct comparison of same period across years,Superstore Sales,"Year, Month, Sales",Which month showed biggest YoY growth?,Medium,Manager,Medium,BEST,Grouped bars make same-period cross-year comparison immediately visible,Line Chart,Use when trend continuity across years matters more,Stacked Bar,Stacked bars hide individual year values making comparison hard,"Tufte 2001, Few 2009"
R7,Strategic,Top Product Performance,Ranking,Horizontal Bar Chart,Rankings are clearest on horizontal axis with readable labels,Superstore Sales,"Sub-Category, Sales",Which top 5 sub-categories drove 80% of revenue?,Low,Manager,Fast,BEST,Horizontal bars allow long category labels and make ranking instantly scannable,Vertical Bar,Use only when fewer than 6 categories with short names,Pie Chart,Pie charts make ranking comparison very difficult,"Few 2009, Munzner 2014"
R8,Strategic,Customer Segment Distribution,Part-to-Whole,Donut Chart,Center space shows total while segments show proportion,Superstore Sales,"Segment, Sales",What share of sales came from Corporate vs Consumer?,Low,Executive,Fast,BEST,Donut charts improve on pie by using center space for key metric display,Pie Chart,Acceptable when no center metric is needed,Bar Chart,Bar charts do not convey part-to-whole relationship as intuitively,"Kirk 2019, Few 2006"
R9,Strategic,Discount Impact on Profit,Relationship,Scatter Plot with Trendline,Reveals correlation strength and direction with outliers,Superstore Sales,"Discount, Profit",Does higher discount consistently reduce profit?,Medium,Analyst,Medium,BEST,Scatter plots with trendline show correlation and individual data point outliers,Line Chart,Use only when data is ordered time series not scattered,Bar Chart,Bar charts cannot show relationships between two continuous variables,"Tufte 2001, Ware 2012"
R10,Strategic,Geographic Sales Distribution,Spatial,Choropleth Map,Spatial patterns visible instantly on geographic map,Superstore Sales,"State, Sales",Which states have highest sales concentration?,Low,Executive,Fast,BEST,Choropleth maps leverage spatial memory — users instantly recognize geographic patterns,Bar Chart,Use when exact state values matter more than geographic pattern,Pie Chart,Pie charts completely lose geographic context,"Ware 2012, Munzner 2014"
R11,Strategic,Shipping Mode Preference Trend,Category Proportion,Normalized Stacked Bar,100% normalization shows proportion change over time,Superstore Sales,"Ship Mode, Year",Is express shipping adoption growing year over year?,Low,Manager,Fast,BEST,Normalized stacked bars show proportional composition change across time periods,Line Chart,Use when absolute values matter more than proportions,Pie Chart,Separate pie charts per year make comparison very difficult,"Few 2009, Kirk 2019"
R12,Strategic,Competitive Positioning Overview,Multi-Metric Comparison,Radar Chart,Multiple KPIs compared across entities on single chart,Superstore Sales,"Region, Sales, Profit",Which region is strongest across all dimensions?,High,Executive,Slow,BEST,Radar charts show multi-dimensional performance profiles at a glance,Bar Chart,Use when comparing fewer than 4 dimensions,Line Chart,Line charts cannot show multi-dimensional comparison effectively,"Munzner 2014, Kirk 2019"
R13,Operational,Employee Attrition by Department,Comparison + Drill,Heatmap,Color intensity reveals patterns across two categorical dimensions,HR Attrition,"Department, JobRole, Attrition",Which department-role has highest attrition?,Medium,HR Manager,Medium,BEST,Heatmaps reveal patterns across two categorical dimensions simultaneously using color,Bar Chart,Use when exact attrition counts matter more than pattern,Pie Chart,Pie charts cannot show two-dimensional categorical patterns,"Ware 2012, Few 2009"
R14,Operational,Job Satisfaction Distribution,Distribution,Histogram,Shows frequency distribution shape skew and spread,HR Attrition,JobSatisfaction,What percentage score below 3 on satisfaction?,Low,HR Manager,Fast,BEST,Histograms reveal distribution shape — skew peak and spread — which tables hide completely,Bar Chart,Acceptable for discrete ordinal data with few categories,Line Chart,Line charts imply continuity in categorical satisfaction scores,"Tufte 2001, Munzner 2014"
R15,Operational,Attrition Rate KPI Monitor,Single Metric,KPI Card,Instant at-a-glance monitoring with delta comparison,HR Attrition,"Attrition, EmployeeCount",What is the current overall attrition rate?,Low,Executive,Fast,BEST,KPI cards deliver single critical metrics with maximum speed — no chart interpretation needed,Gauge Chart,Use when target threshold visualization is needed,Bar Chart,Bar charts add unnecessary complexity for single metric monitoring,"Few 2006, Kirk 2019"
R16,Operational,Overtime vs Attrition Impact,Binary Comparison,Stacked Bar Chart,Proportional composition within binary groups,HR Attrition,"OverTime, Attrition",Is overtime a major driver of attrition?,Low,HR Manager,Fast,BEST,Stacked bars show attrition proportion within overtime vs non-overtime groups clearly,Grouped Bar,Use when absolute counts matter more than proportions,Pie Chart,Separate pies make direct comparison between groups difficult,"Few 2009, Munzner 2014"
R17,Operational,Age Distribution by Department,Distribution,Box Plot,Shows median quartiles and outliers for each group,HR Attrition,"Department, Age",Which department has youngest average workforce?,Medium,HR Manager,Medium,BEST,Box plots show full distribution summary — median spread and outliers — in compact form,Bar Chart,Use only when mean comparison is sufficient,Histogram,Histograms cannot compare distributions across multiple groups efficiently,"Tufte 2001, Ware 2012"
